gene,sample,n_regulators,n_well_populated_leaves,transferability,mean_abs_residual,sample_mean_r2
NCAM1,allograft_2LR,7,45,0.33869839048285516,0.30814168530214087,0.2925788503235253
NFATC2,allograft_2LR,3,8,0.5481283422459893,0.16503420340471261,0.2925788503235253
NFIA,allograft_2LR,7,41,0.34767025089605735,0.2408309496970618,0.2925788503235253
NFIB,allograft_2LR,8,60,0.7083024462564863,0.12559319048104398,0.2925788503235253
NFIX,allograft_2LR,5,29,0.23926174496644295,0.4959647453209806,0.2925788503235253
NFKB1,allograft_2LR,4,14,0.2801608579088472,0.31600542543120735,0.2925788503235253
NFYC,allograft_2LR,1,2,1.0,0.024371414301766117,0.2925788503235253
NR6A1,allograft_2LR,1,2,1.0,0.011549685778002739,0.2925788503235253
PBX1,allograft_2LR,4,14,0.407171581769437,0.26211096053890015,0.2925788503235253
PKNOX2,allograft_2LR,5,28,0.2682108089963075,0.3286988633866399,0.2925788503235253
PROX1,allograft_2LR,2,4,0.8993983957219251,0.1342251669120594,0.2925788503235253
RBPJ,allograft_2LR,1,2,1.0,0.006550690024737508,0.2925788503235253
REST,allograft_2LR,3,8,0.25434491978609625,0.2672223984665816,0.2925788503235253
RORA_RORB,allograft_2LR,5,27,0.4675848169297951,0.236590351299194,0.2925788503235253
RUNX1,allograft_2LR,7,46,0.30628366247755834,0.26469764881438,0.2925788503235253
SIX1,allograft_2LR,5,27,0.5152941176470588,0.18539458701148856,0.2925788503235253
SIX4,allograft_2LR,8,49,0.5817394442439553,0.1348525896846613,0.2925788503235253
SMAD3,allograft_2LR,5,30,0.3227211796246649,0.36164211258987633,0.2925788503235253
SOX11,allograft_2LR,4,15,0.46604215456674475,0.2547797400519594,0.2925788503235253
SOX9,allograft_2LR,1,2,1.0,0.03149877448175585,0.2925788503235253
STAT1,allograft_2LR,1,2,1.0,0.03749306245040604,0.2925788503235253
STAT2,allograft_2LR,5,21,0.34893184130213634,0.19944936602347932,0.2925788503235253
TBX15,allograft_2LR,6,39,0.5772946859903382,0.18186005186656432,0.2925788503235253
TCF4,allograft_2LR,1,2,1.0,0.019384384029449024,0.2925788503235253
TCF7L1,allograft_2LR,6,42,0.3422040259297168,0.28867738010327587,0.2925788503235253
TCF7L2,allograft_2LR,5,26,0.14439946018893388,0.38548460299672027,0.2925788503235253
TEAD1,allograft_2LR,6,34,0.851608439986164,0.07331664780103385,0.2925788503235253
TFDP1,allograft_2LR,1,2,1.0,0.021046556718492145,0.2925788503235253
THRB,allograft_2LR,1,2,0.42312834224598933,0.17992028537742222,0.2925788503235253
ZBTB20,allograft_2LR,7,42,0.6779780841286673,0.13205078011752872,0.2925788503235253
ZEB1,allograft_2LR,1,2,1.0,0.0274314852083136,0.2925788503235253
ASCL1,allograft_mt5,6,49,0.0735775016350556,0.5000652160991765,0.25384168260020407
BACH1,allograft_mt5,5,28,0.6081871345029239,0.14227274675576884,0.25384168260020407
BACH2,allograft_mt5,3,8,0.2345360824742268,0.25499016931304797,0.25384168260020407
CREB1,allograft_mt5,1,2,1.0,0.028228527093916968,0.25384168260020407
CUX2,allograft_mt5,7,52,0.6630061770761839,0.13624481501246494,0.25384168260020407
EGR1,allograft_mt5,7,52,0.6839396019217571,0.15578325997552442,0.25384168260020407
EHF,allograft_mt5,2,4,0.6433634020618557,0.15679353386952904,0.25384168260020407
EPCAM,allograft_mt5,6,42,0.1776532630191167,0.34800683347404854,0.25384168260020407
ESR1,allograft_mt5,1,2,1.0,0.04188267317951118,0.25384168260020407
ETS1,allograft_mt5,4,16,0.3489046391752577,0.21726871104117657,0.25384168260020407
FOS,allograft_mt5,8,79,0.3179190751445087,0.2977106351288288,0.25384168260020407
FOXO3,allograft_mt5,4,16,0.32055412371134023,0.32388799479339014,0.25384168260020407
GRHL2,allograft_mt5,4,16,0.44007731958762886,0.24362397244792705,0.25384168260020407
HES1,allograft_mt5,5,29,0.21701164294954722,0.3971388415135095,0.25384168260020407
HSF2,allograft_mt5,6,37,0.700367033700367,0.13432876326223944,0.25384168260020407
ICAM1,allograft_mt5,6,36,0.4503022162525185,0.1749076273277339,0.25384168260020407
JUN,allograft_mt5,6,32,0.5021459227467812,0.19077627409964926,0.25384168260020407
JUNB,allograft_mt5,3,8,0.26836340206185566,0.26713426808662183,0.25384168260020407
JUND,allograft_mt5,1,2,1.0,0.04244863440849565,0.25384168260020407
KMT2A,allograft_mt5,7,51,0.1855111712931618,0.43607062134183694,0.25384168260020407
LMX1B,allograft_mt5,4,16,0.2615979381443299,0.17853545333202353,0.25384168260020407
MEIS2,allograft_mt5,4,16,0.2657860824742268,0.32609421108911346,0.25384168260020407
NCAM1,allograft_mt5,7,47,0.4233425414364641,0.1984811314710644,0.25384168260020407
NFATC2,allograft_mt5,3,8,0.38240979381443296,0.17936699399429107,0.25384168260020407
NFIA,allograft_mt5,7,48,0.5612386917188588,0.19554180231089321,0.25384168260020407
NFIB,allograft_mt5,8,58,0.4522058823529412,0.22842833136810897,0.25384168260020407
NFIX,allograft_mt5,5,28,0.10543442889684347,0.44433700494384676,0.25384168260020407
NFKB1,allograft_mt5,4,16,0.25579896907216493,0.26787669145228726,0.25384168260020407
NFYC,allograft_mt5,1,2,1.0,0.014978763977349163,0.25384168260020407
NR6A1,allograft_mt5,1,2,1.0,0.007491660458598555,0.25384168260020407
PBX1,allograft_mt5,4,16,0.7799613402061856,0.12882965685217096,0.25384168260020407
PKNOX2,allograft_mt5,5,30,0.23432449903038138,0.38985301149040935,0.25384168260020407
PROX1,allograft_mt5,2,4,0.8524484536082474,0.16196670095840163,0.25384168260020407
